,pseudo_ALG,main_ALG,DATASET,method,vMAE,vSTD,eMAE,vs
42,MLP,KNeighborsRegressor,FCT+CT,SSL,0.6811240710441028,0.30982695089698864,0.7189172510976146,[-0.88602891 -1.17325163 -0.40390239 -0.34709016 -0.59534727]
43,MLP,AdaBoostRegressor,FCT+CT,SSL,0.8458221911745343,0.40583844872206004,0.7610788348288398,[-1.03078324 -1.17236198 -0.38379466 -0.33735412 -1.30481696]
44,MLP,LinearRegression,FCT+CT,SSL,0.9377035792610563,0.4526923021215108,0.7487530196413955,[-1.29935362 -1.21685746 -0.37879502 -0.39665503 -1.39685677]
45,MLP,SVR,FCT+CT,SSL,0.7298676228338139,0.3386005012392435,0.7403462808053412,[-1.03316154 -1.21913255 -0.48043908 -0.3314674  -0.58513754]
46,MLP,DecisionTreeRegressor,FCT+CT,SSL,1.1453899662725835,0.29229278373526185,1.1430853649378379,[-1.44106508 -1.12060104 -0.90289607 -0.75707436 -1.50531328]
47,MLP,RandomForestRegressor,FCT+CT,SSL,0.8315627884354362,0.34855759424429616,0.8645132617197093,[-1.06664484 -1.09416976 -0.49862471 -0.32562103 -1.1727536 ]
48,MLP,MLPRegressor,FCT+CT,SSL,0.7768795430404751,0.38001601669650165,0.898196906896971,[-1.15286442 -1.15544771 -0.39893896 -0.25418968 -0.92295694]
49,MLP,GradientBoostingRegressor,FCT+CT,SSL,0.9894443470231575,0.18804482606234713,0.8557403316422837,[-1.06309919 -1.1934821  -0.82259311 -0.71520227 -1.15284505]
50,MLP,Lasso,SCT+CT,SSL,0.8428138755167118,0.2502166611596602,0.8150504877692984,[-1.07963381 -1.20998633 -0.66000848 -0.62864641 -0.63579436]
51,MLP,BaggingRegressor,SCT+CT,SSL,0.8194718657578054,0.3046211123086655,0.8714751350339777,[-1.05529267 -1.30247806 -0.53647749 -0.60274174 -0.60036936]
52,MLP,KNeighborsRegressor,SCT+CT,SSL,0.7101076344854966,0.34474759162384505,0.8464317382437014,[-0.99971863 -1.23747781 -0.51654038 -0.4137295  -0.38307185]
53,MLP,AdaBoostRegressor,SCT+CT,SSL,0.7842415629250327,0.34000200864537516,0.7980523858245964,[-1.03779393 -1.32582519 -0.5945134  -0.50550737 -0.45756792]
54,MLP,LinearRegression,SCT+CT,SSL,0.875511474051201,0.2235598646088312,0.8147826498067984,[-1.09367661 -1.19097407 -0.6307503  -0.75508251 -0.70707388]
55,MLP,SVR,SCT+CT,SSL,0.8095228874151058,0.27395511326763955,0.7506303957436978,[-1.05223059 -1.22140846 -0.60201059 -0.62898362 -0.54298118]
56,MLP,DecisionTreeRegressor,SCT+CT,SSL,0.9157413662905587,0.24731975322957617,0.9284121433373391,[-1.06939768 -1.3113541  -0.8361365  -0.74831269 -0.61350585]
57,MLP,RandomForestRegressor,SCT+CT,SSL,0.7899755104989937,0.3301783536791421,0.7678989249715313,[-1.13911986 -1.23985885 -0.58691268 -0.52338061 -0.46060555]
58,MLP,MLPRegressor,SCT+CT,SSL,0.77348387154281,0.3585380015499913,0.9916056328928942,[-1.10513142 -1.30282956 -0.45266317 -0.54659157 -0.46020364]
59,MLP,GradientBoostingRegressor,SCT+CT,SSL,0.8445815784280164,0.23778687663925813,0.7853550959094413,[-1.04724376 -1.21042624 -0.66020518 -0.64891358 -0.65611914]
60,MLP,Lasso,CCT,SSL,0.9546194625565929,0.15618483936074853,0.8254421412484387,[-1.08194015 -1.19749219 -0.83616585 -0.85169594 -0.80580317]
61,MLP,BaggingRegressor,CCT,SSL,0.8497288199385042,0.28957604173235846,0.750493577189187,[-1.05676977 -1.31919229 -0.64414873 -0.65209174 -0.57644156]
62,MLP,KNeighborsRegressor,CCT,SSL,0.8071376255201619,0.30245427649644807,0.7186625170337005,[-0.9338922  -1.33839652 -0.63745785 -0.63734847 -0.48859309]
63,MLP,AdaBoostRegressor,CCT,SSL,1.0527717019338068,0.2702087673013897,0.7844507302959828,[-1.14684843 -1.47665713 -0.7409578  -1.12007677 -0.77931838]
64,MLP,LinearRegression,CCT,SSL,0.8496483179299474,0.2976304893833345,0.7512197526240905,[-1.07549612 -1.31844155 -0.5394808  -0.68928149 -0.62554162]
65,MLP,SVR,CCT,SSL,1.0118345436204597,0.24458705382771165,0.8739533930037652,[-1.03868694 -1.46625424 -0.7546737  -0.88173462 -0.91782323]
66,MLP,DecisionTreeRegressor,CCT,SSL,1.0052719972448165,0.3147049705677354,0.8919279755714316,[-1.10011185 -1.52983477 -0.91861318 -0.91442454 -0.56337565]
67,MLP,RandomForestRegressor,CCT,SSL,0.8553844601694236,0.35872816721947726,0.75559141646987,[-1.08305681 -1.44315886 -0.48189288 -0.70133186 -0.5674819 ]
68,MLP,MLPRegressor,CCT,SSL,0.8806018159612294,0.4461946036673196,1.069686248657637,[-1.15104322 -1.61986421 -0.55641355 -0.40417116 -0.67151693]
69,MLP,GradientBoostingRegressor,CCT,SSL,0.8607031313495526,0.2337653612056331,0.8369353063652133,[-1.06263089 -1.20850981 -0.5943398  -0.73294418 -0.70509098]
70,MLP,Lasso,CPT,SSL,0.8465863735896333,0.23854987447511783,0.8117259356822701,[-1.0523978  -1.20037332 -0.67852155 -0.57300052 -0.72863867]
71,MLP,BaggingRegressor,CPT,SSL,0.8552625595508229,0.244461714983957,0.8263628315071205,[-1.12362651 -1.17767433 -0.63970891 -0.722332   -0.61297104]
72,MLP,KNeighborsRegressor,CPT,SSL,0.8465481365145253,0.25834713603518844,0.911170110117876,[-1.1080334  -1.19726101 -0.54159465 -0.72568163 -0.66016999]
73,MLP,AdaBoostRegressor,CPT,SSL,0.7844500801589068,0.2776096906027567,0.8394876487321865,[-1.06550131 -1.17695847 -0.54686427 -0.58645649 -0.54646985]
74,MLP,LinearRegression,CPT,SSL,0.8572478066119954,0.2712217607976427,0.8353776225351085,[-1.06601586 -1.2774872  -0.55001362 -0.72337146 -0.66935089]
75,MLP,SVR,CPT,SSL,0.8947155908922853,0.20005254437028885,0.7780853018897883,[-1.04234496 -1.21026187 -0.80372522 -0.73312833 -0.68411757]
76,MLP,DecisionTreeRegressor,CPT,SSL,0.997612482883949,0.22392622522973837,1.0760638663234399,[-1.12299364 -1.37490509 -0.79050175 -0.79473551 -0.90492642]
