,ALG,DATASET,method,vMAE,vSTD,eMAE,vs
135,SVR,PT,SL,1.0740802876435693,0.11887490744112537,0.7608123778154945,[-1.19495257 -0.92538964 -1.07039791 -1.21911231 -0.960549  ]
136,DecisionTreeRegressor,PT,SL,1.278467810376871,0.16381046730014023,0.8556413768879523,[-1.0221098  -1.3859589  -1.1635949  -1.34355282 -1.47712263]
137,RandomForestRegressor,PT,SL,1.147861275626892,0.12037036355570802,0.9432805225851322,[-1.17313215 -1.09703326 -0.94191998 -1.26083205 -1.26638893]
138,MLPRegressor,PT,SL,1.2990854688511402,0.20302054166345257,1.085381676385452,[-0.96778475 -1.17090771 -1.49423763 -1.48989347 -1.37260378]
139,Lasso,PT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
140,GradientBoostingRegressor,CT,SL,1.130054384450877,0.1572451956035375,0.8311850884518744,[-1.32458199 -0.94035704 -0.96119728 -1.27467396 -1.14946165]
141,BaggingRegressor,CT,SL,1.2875397260273973,0.1512636054031905,0.9761643835616438,[-1.41544521 -1.17851027 -1.04934932 -1.44902397 -1.34536986]
142,KNeighborsRegressor,CT,SL,1.1951502027682728,0.12725905567203488,0.7863946772119521,[-1.24584291 -1.00705038 -1.08960477 -1.28220093 -1.35105202]
143,AdaBoostRegressor,CT,SL,1.1980212442752793,0.08051327953713514,0.9667237100715822,[-1.25601251 -1.04256214 -1.24697247 -1.24785558 -1.19670351]
144,LinearRegression,CT,SL,1.125014266442007,0.12835322326108653,0.8487664412711504,[-1.27255925 -0.95315039 -1.00731098 -1.25571968 -1.13633103]
145,SVR,CT,SL,1.0808777907723754,0.14218324432293766,0.7657006111550594,[-1.21333552 -0.93358733 -0.91644288 -1.26729374 -1.07372948]
146,DecisionTreeRegressor,CT,SL,1.7199450152207003,0.11742319208905179,1.0821917808219177,[-1.82089041 -1.68627283 -1.55030537 -1.6625     -1.87975647]
147,RandomForestRegressor,CT,SL,1.2416106893771601,0.14714393232861125,0.9167639065897448,[-1.36087875 -1.03171255 -1.10396494 -1.30588225 -1.40561495]
148,MLPRegressor,CT,SL,1.2702781084317816,0.1369079223133763,0.8484651347169478,[-1.35554562 -1.02431491 -1.25291812 -1.28931604 -1.42929585]
149,Lasso,CT,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
150,GradientBoostingRegressor,CT+clinical,SL,1.1202689131886983,0.14445291898523666,0.8245801371657085,[-1.27285981 -0.94787409 -0.95886315 -1.27742816 -1.14431936]
151,BaggingRegressor,CT+clinical,SL,1.3970500000000001,0.2071185373155153,0.6970410958904109,[-1.63039384 -1.06520548 -1.33628425 -1.34717466 -1.60619178]
152,KNeighborsRegressor,CT+clinical,SL,1.2081912247391373,0.1256542461995927,0.7750341267112664,[-1.28350302 -0.97538232 -1.18824395 -1.25862537 -1.33520146]
153,AdaBoostRegressor,CT+clinical,SL,1.2717643555559088,0.06246336567315298,0.8928031892010475,[-1.32114354 -1.15073685 -1.30848372 -1.30446157 -1.2739961 ]
154,LinearRegression,CT+clinical,SL,1.1273728953535873,0.12925507839350817,0.8443573674009748,[-1.27516396 -0.94581343 -1.01990253 -1.25801004 -1.13797452]
155,SVR,CT+clinical,SL,1.0809058900164383,0.14228529416350597,0.7654143371043025,[-1.21349743 -0.93363381 -0.91620221 -1.26739493 -1.07380107]
156,DecisionTreeRegressor,CT+clinical,SL,1.5906617298180987,0.12098817180327057,0.9482557077625572,[-1.37690313 -1.61241228 -1.66688596 -1.56337211 -1.73373516]
157,RandomForestRegressor,CT+clinical,SL,1.2862223330770994,0.18817024429010332,0.8573765819590544,[-1.42070067 -0.99717209 -1.13089457 -1.40079816 -1.48154618]
158,MLPRegressor,CT+clinical,SL,1.3333694769527606,0.15501135848824116,0.7590384901584992,[-1.38264029 -1.23194001 -1.10190948 -1.39261502 -1.55774259]
159,Lasso,CT+clinical,SL,1.1038208849749946,0.1571901470961081,0.8326703658748047,[-1.281197   -0.9184252  -0.92964775 -1.26832192 -1.12151256]
160,GradientBoostingRegressor,PT+clinical,SL,1.1107797316613277,0.149374953791811,0.8273563727993842,[-1.27766434 -0.93605416 -0.93216388 -1.24815668 -1.1598596 ]
